category,name,url
技术因子,成交量价背离度,https://factors.directory/zh/factors/tech/price-volume-divergence
技术因子,相对强弱指标 (Relative Strength Index),https://factors.directory/zh/factors/tech/rsi
技术因子,20日区间收益率动量/反转因子,https://factors.directory/zh/factors/tech/momentum-or-reversal
技术因子,归母净利润同比增长率,https://factors.directory/zh/factors/tech/net-profit-growth-rate
技术因子,日均换手率,https://factors.directory/zh/factors/tech/turnover-rate
技术因子,成交量能量潮指标 (On-Balance Volume),https://factors.directory/zh/factors/tech/energy-metrics
技术因子,主力成交同步性因子,https://factors.directory/zh/factors/tech/main-force-trading-strength
技术因子,新闻共现注意力溢出因子,https://factors.directory/zh/factors/tech/news-co-occurrence
技术因子,多周期标准化移动平均动量因子,https://factors.directory/zh/factors/tech/momentum-factor
技术因子,累计振荡指标,https://factors.directory/zh/factors/tech/accumulated-oscillation-index
技术因子,价格成交量趋势指标,https://factors.directory/zh/factors/tech/price-volume-trend
技术因子,一致性下跌成交量比率因子,https://factors.directory/zh/factors/tech/consistent-sell-trade
技术因子,开盘时段主动买入强度,https://factors.directory/zh/factors/tech/opening-buy-intention
技术因子,相对组合对数价差偏离度,https://factors.directory/zh/factors/tech/price-spread-deviation
技术因子,外资券商关联网络牵引强度因子,https://factors.directory/zh/factors/tech/foreign-broker-network-factor
技术因子,"简易波动指标 (Easy of Movement Value, EMV)",https://factors.directory/zh/factors/tech/easy-movement-value
技术因子,市场反应滞后因子,https://factors.directory/zh/factors/tech/price-delay
技术因子,日内收益偏度,https://factors.directory/zh/factors/tech/high-frequency-skewness
技术因子,蔡金资金流向指标,https://factors.directory/zh/factors/tech/caijin-currency-flow-indicator
技术因子,集合竞价成交量占比复合因子,https://factors.directory/zh/factors/tech/volume-ratio
技术因子,"多空意愿指标 (Bull-Bear Index, BBI)",https://factors.directory/zh/factors/tech/long-void-index
技术因子,商品通道指数,https://factors.directory/zh/factors/tech/commodity-channel-index
技术因子,动态趋向指标,https://factors.directory/zh/factors/tech/dynamic-buy-sell-indicator
技术因子,心理线,https://factors.directory/zh/factors/tech/psy-line
技术因子,科技关联加权动量因子,https://factors.directory/zh/factors/tech/technology-momentum
技术因子,成交量相对强度指标,https://factors.directory/zh/factors/tech/volume-ratio-indicator
技术因子,滚动收益率偏度因子,https://factors.directory/zh/factors/tech/skewness
技术因子,主动成交额净额比率,https://factors.directory/zh/factors/tech/active-trading-factor
技术因子,布林买卖意愿比率,https://factors.directory/zh/factors/tech/br-indicator
技术因子,蔡金资金流量震荡指标,https://factors.directory/zh/factors/tech/jiaqing-indicator
技术因子,估值偏离度(误差修正模型),https://factors.directory/zh/factors/tech/valuation-deviation
技术因子,高频上行已实现波动占比,https://factors.directory/zh/factors/tech/high-frequency-up-volatility-ratio
技术因子,高频价量相关性趋势因子,https://factors.directory/zh/factors/tech/price-volume-correlation-trend
技术因子,"日内强度指标 (Intraday Momentum Index, IMI)",https://factors.directory/zh/factors/tech/intraday-momentum
技术因子,资金流量指标,https://factors.directory/zh/factors/tech/money-flow-index
技术因子,Dimson调整贝塔,https://factors.directory/zh/factors/tech/dimson-beta
技术因子,二阶动量加速度因子,https://factors.directory/zh/factors/tech/acceleration-momentum
技术因子,最大日收益率（Max Daily Return）,https://factors.directory/zh/factors/tech/max-yield
技术因子,日内信息不对称强度因子,https://factors.directory/zh/factors/tech/apm-factor
技术因子,成交量加权残差反转因子,https://factors.directory/zh/factors/tech/residual-reversal-factor
技术因子,成交量相对强度指标,https://factors.directory/zh/factors/tech/volume-relative-strength
技术因子,收益动量一致性因子,https://factors.directory/zh/factors/tech/information-dispersion
技术因子,三重指数移动平均 (TEMA),https://factors.directory/zh/factors/tech/triple-exponential-moving-average
技术因子,下尾风险贝塔,https://factors.directory/zh/factors/tech/tail-beta
技术因子,价格偏离移动均线百分比 (Price Deviation from Moving Average Percentage),https://factors.directory/zh/factors/tech/bias
技术因子,实体K线一致性买入强度因子,https://factors.directory/zh/factors/tech/consistent-buy-transaction
技术因子,佳庆波动率离散指标,https://factors.directory/zh/factors/tech/jiaqing-discrete-index
技术因子,非对称价格冲击偏度,https://factors.directory/zh/factors/tech/price-impact-bias
技术因子,价格变动速率因子,https://factors.directory/zh/factors/tech/rate-of-change
技术因子,开盘时段大单净买入强度标准化均值,https://factors.directory/zh/factors/tech/large-order-net-buying-strength
技术因子,相对强弱人气指标,https://factors.directory/zh/factors/tech/ar-indicator
技术因子,"垂直水平滤波指标 (Vertical Horizontal Filter, VHF)",https://factors.directory/zh/factors/tech/vertical-horizontal-filter
技术因子,克林格成交量震荡指标,https://factors.directory/zh/factors/tech/klinger-volume-oscillator
技术因子,移动平均汇聚背离指标,https://factors.directory/zh/factors/tech/moving-average-convergence-divergence
技术因子,日内换手率分布离散度,https://factors.directory/zh/factors/tech/turnover-uniformity
技术因子,异同离差乖离率振荡器,https://factors.directory/zh/factors/tech/deviation-rate
技术因子,钱德动量振荡器,https://factors.directory/zh/factors/tech/chande-momentum-oscillator
技术因子,基金持仓网络牵引强度因子,https://factors.directory/zh/factors/tech/fund-network-factor
技术因子,成交量异同移动平均线 (VMACD),https://factors.directory/zh/factors/tech/volume-moving-average-convergence-divergence
技术因子,实体K线一致性交易强度因子,https://factors.directory/zh/factors/tech/consistent-trading
技术因子,"资金流量累积指标 (Accumulation/Distribution Line, A/D)",https://factors.directory/zh/factors/tech/accumulative-distribution-line
技术因子,残差偏度因子,https://factors.directory/zh/factors/tech/idiosyncratic-skewness
技术因子,蔡金波动率指标 (Chaikin Volatility Index),https://factors.directory/zh/factors/tech/cvi
技术因子,日内开盘净委买增额成交额比率,https://factors.directory/zh/factors/tech/net-bid-increase-ratio
技术因子,多时域移动平均动量因子,https://factors.directory/zh/factors/tech/trend-factor
技术因子,时间加权平均相对价格位置,https://factors.directory/zh/factors/tech/time-weighted-average-stock-relative-price-position
技术因子,相对强弱指标 (RSI),https://factors.directory/zh/factors/tech/relative-strength-index
技术因子,梅斯指数,https://factors.directory/zh/factors/tech/mass-index
技术因子,市场收益率协偏度因子,https://factors.directory/zh/factors/tech/covariance-skewness1
技术因子,随机摆动指标,https://factors.directory/zh/factors/tech/stochastic-indicator
技术因子,阿隆指标,https://factors.directory/zh/factors/tech/aroon-index
技术因子,残差资金流强度,https://factors.directory/zh/factors/tech/residual-fund-flow-intensity
技术因子,机构活跃度因子,https://factors.directory/zh/factors/tech/smart-money-factor
技术因子,区域强度指数,https://factors.directory/zh/factors/tech/region-index
技术因子,下行风险贝塔,https://factors.directory/zh/factors/tech/downside-beta
技术因子,CAPM残差动量因子,https://factors.directory/zh/factors/tech/residual-momentum-capm
技术因子,成交额分位数反转强度因子,https://factors.directory/zh/factors/tech/ideal-reversal-factor
技术因子,开盘后主动买入强度标准化均值,https://factors.directory/zh/factors/tech/net-buyer-intensity-after-opening
技术因子,成交量动量摆动指标,https://factors.directory/zh/factors/tech/kvo-indicator
技术因子,Fama-French三因子模型残差动量,https://factors.directory/zh/factors/tech/residual-momentum-ff3
技术因子,分析师目标价调整动量因子,https://factors.directory/zh/factors/tech/adjust-expected-yield
技术因子,随机动量指标 (SMI),https://factors.directory/zh/factors/tech/stochastic-momentum-indicator
技术因子,"平均真实波幅 (Average True Range, ATR)",https://factors.directory/zh/factors/tech/average-true-volatility
技术因子,科波克曲线,https://factors.directory/zh/factors/tech/coppock-indicator
